tables_record_id,tables_created_at,tables_updated_at,division_name,minLng,minLat,maxLng,maxLat,Cities/Areas within Division,Region,Service Region
01K06KRCZE8MS0SGKGTVQSZZHZ,2025-07-15T08:38:26.030000+00:00,2025-07-15T09:52:30.258344+00:00,Texoma,-97.1688557379,33.4190043929,-96.3669197253,33.8997131742,"Sherman, Denison, Gainesville",North Texas (NTX),Open Market
01K06KRCZE8MS0SGKGTVQSZZJ0,2025-07-15T08:38:26.030000+00:00,2025-07-15T09:52:35.218607+00:00,Justin,-98.0214039277,32.7333763927,-96.7577180462,33.634573664,"Justin, Denton, Flower Mound",North Texas (NTX),Open Market
01K06KRCZE8MS0SGKGTVQSZZJ1,2025-07-15T08:38:26.030000+00:00,2025-07-15T09:52:39.153140+00:00,Cresson,-98.1868067306,31.9952662433,-97.3662087724,32.9777709846,"Cresson, Granbury, Weatherford",North Texas (NTX),Open Market
01K06KRCZE8MS0SGKGTVQSZZJ2,2025-07-15T08:38:26.030000+00:00,2025-07-15T09:52:40.687635+00:00,Mansfield,-97.4320414637,32.3789977586,-97.0042597633,32.7597625669,"Mansfield, Arlington, Burleson",North Texas (NTX),Open Market
01K06KRCZE8MS0SGKGTVQSZZJ3,2025-07-15T08:38:26.030000+00:00,2025-07-15T09:52:42.079667+00:00,Dallas,-97.1242409332,32.3193859018,-96.3098338639,33.0550037521,"Dallas, Garland, Mesquite",North Texas (NTX),Open Market
01K06KRCZE8MS0SGKGTVQSZZJ4,2025-07-15T08:38:26.030000+00:00,2025-07-15T09:52:43.472113+00:00,Hillsboro,-98.1458247903,31.1459002753,-96.6837286726,32.4757073258,"Hillsboro, Waxahachie, Corsicana",Central Texas (CTX),Open Market
01K06KRCZE8MS0SGKGTVQSZZJ5,2025-07-15T08:38:26.030000+00:00,2025-07-15T09:52:44.816345+00:00,Mexia,-96.9243885775,31.0162599991,-95.6213372665,32.0176518409,"Mexia, Groesbeck, Fairfield",Central Texas (CTX),Open Market
01K06KRCZE8MS0SGKGTVQSZZJ7,2025-07-15T08:38:26.030000+00:00,2025-07-15T09:52:50.250166+00:00,Bayou,-95.0785301359,29.1147401121,-93.9655976302,30.2685164418,"Baytown, La Porte, Pasadena",South Texas (STX),Open Market
01K06KRCZE8MS0SGKGTVQSZZJ8,2025-07-15T08:38:26.030000+00:00,2025-07-15T09:52:52.038491+00:00,Dayton,-95.4594150157,29.6540573101,-94.5289820903,30.4575293628,"Dayton, Liberty, Cleveland",South Texas (STX),Open Market
01K06KRCZE8MS0SGKGTVQSZZJ9,2025-07-15T08:38:26.030000+00:00,2025-07-15T09:52:53.794717+00:00,Houston,-95.8138358462,29.294063751,-94.9975787587,29.7785517,"Houston (eastern parts), Channelview",South Texas (STX),Open Market
01K06KRCZE8MS0SGKGTVQSZZJA,2025-07-15T08:38:26.030000+00:00,2025-07-15T09:52:55.962216+00:00,Jersey Village,-95.9545525588,29.6898448658,-95.3615142423,30.2494601343,"Jersey Village, Cypress, Tomball",South Texas (STX),Open Market
01K06KRCZE8MS0SGKGTVQSZZJB,2025-07-15T08:38:26.030000+00:00,2025-07-15T09:52:57.326382+00:00,Hearne,-96.5860250663,31.4980217001,-96.4703469146,31.5515931697,"Hearne, Bryan, College Station",Central Texas (CTX),Open Market
01K06KRCZE8MS0SGKGTVQSZZJC,2025-07-15T08:38:26.030000+00:00,2025-07-15T09:52:59.755463+00:00,San Marcos,-98.4903954168,29.3372365528,-97.2845383208,30.5021427551,"San Marcos, Kyle, Buda",Central Texas (CTX),Open Market
01K06KRCZE8MS0SGKGTVQSZZJD,2025-07-15T08:38:26.030000+00:00,2025-07-15T09:53:02.282221+00:00,San Antonio,-99.1323841199,28.7782468142,-97.8213650678,30.0428458776,"San Antonio, New Braunfels, Seguin",Central Texas (CTX),Open Market
01K06KRCZE8MS0SGKGTVQSZZJE,2025-07-15T08:38:26.030000+00:00,2025-07-15T09:53:03.845063+00:00,Corpus,-98.3486771617,27.1858627004,-96.7762555332,28.9006337522,"Corpus Christi, Kingsville, Robstown",South Texas (STX),Open Market
01K06KRCZE8MS0SGKGTVQSZZJF,2025-07-15T08:38:26.030000+00:00,2025-07-15T09:53:05.442621+00:00,McKinney,-96.7586819134,33.1188339953,-96.4933337544,33.2774329037,"McKinney, Allen, Frisco",North Texas (NTX),Open Market
